曲名,アーティスト,アルバム,ファイルパス
Super Mario Galaxy 2,Upside Dizzy Galaxy,,E:\MUSIC\1 SMG & mkw\Upside Dizzy Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Warp Pipe Room,,E:\MUSIC\1 SMG & mkw\Warp Pipe Room - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Warp Room (Yoshi),,E:\MUSIC\1 SMG & mkw\Warp Room (Yoshi) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Wii Channel,,E:\MUSIC\1 SMG & mkw\Wii Channel - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Wild Glide Galaxy,,E:\MUSIC\1 SMG & mkw\Wild Glide Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,World 1 & 2,,E:\MUSIC\1 SMG & mkw\World 1 & 2 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,World 3,,E:\MUSIC\1 SMG & mkw\World 3 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,World 4,,E:\MUSIC\1 SMG & mkw\World 4 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,World 5,,E:\MUSIC\1 SMG & mkw\World 5 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,World 6,,E:\MUSIC\1 SMG & mkw\World 6 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,World S,,E:\MUSIC\1 SMG & mkw\World S - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Yoshi Appears,,E:\MUSIC\1 SMG & mkw\Yoshi Appears - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Yoshi Star Galaxy,,E:\MUSIC\1 SMG & mkw\Yoshi Star Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Yoshi Star Galaxy (Yoshi),,E:\MUSIC\1 SMG & mkw\Yoshi Star Galaxy (Yoshi) - Super Mario Galaxy 2.mp3
Wii Fit Music-Results 2,,,E:\MUSIC\1 SMG & mkw\Wii Fit Music-Results 2.mp3
Wii Fit Music-Results,,,E:\MUSIC\1 SMG & mkw\Wii Fit Music-Results.mp3
レインボーロード(ファイナルセクション)　BGM　マリオカート7,,,E:\MUSIC\1 SMG & mkw\レインボーロード(ファイナルセクション)　BGM　マリオカート7.mp3
New Super Mario Bros.,Castle Theme,,E:\MUSIC\1 SMG & mkw\Castle Theme - New Super Mario Bros..mp3
Mario Kart Wii,DS Delfino Square,,E:\MUSIC\1 SMG & mkw\DS Delfino Square - Mario Kart Wii.mp3
Deltarune (Extended),THE WORLD REVOLVING (Jevil's Theme),,E:\MUSIC\1 SMG & mkw\THE WORLD REVOLVING.mp3
「王座の間」 スターウォーズエンドロール曲 ED曲,,,E:\MUSIC\1 SMG & mkw\Throne Room.mp3
Realm Overworld,The Legend of Zelda: Spirit Tracks Music,,E:\MUSIC\1 SMG & mkw\The Legend of Zelda_ Spirit Tracks Music - Realm Overworld.mp3
ポケモンBW2 BGM 「戦闘！チャンピオンアイリス」,,,E:\MUSIC\1 SMG & mkw\戦闘！チャンピオンアイリス.mp3
,,,E:\MUSIC\1 SMG & mkw\citation from ‘joy to the world'.mp3
,,,E:\MUSIC\1 SMG & mkw\I am (報道ステーションテーマ曲).mp3
,,,E:\MUSIC\1 SMG & mkw\The Grand Finale - Mario   Luigi Bowser's Inside Story.mp3
,,,E:\MUSIC\1 SMG & mkw\猫叉Master+ [HD] 「nightbird lost wing」.mp3
,,,E:\MUSIC\1 SMG & mkw\Fading World - Imperial Tower.mp3
,,,E:\MUSIC\1 SMG & mkw\Binding of Isaac - Wrath of the Lamb OST My Innermost Apocalypse.mp3
Victory Fanfare 【勝利のファンファーレ】 [Final Fantasy X HD Remaster OST],010,,E:\MUSIC\1 SMG & mkw\Victory Fanfare.mp3
Immortal (2011),Thomas Bergersen,,E:\MUSIC\1 SMG & mkw\Immortal .mp3
Town - The Bliss of the Twilight,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Town - The Bliss of the Twilight.mp3
Unrest - Scatter About,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Unrest - Scatter About.mp3
Unrest - The Burning Crimson Sword Dances,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Unrest - The Burning Crimson Sword Dances.mp3
Unrest - The End of Raging Winds,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Unrest - The End of Raging Winds.mp3
Unrest - The Legend's Successor,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Unrest - The Legend's Successor.mp3
Until the Day You Soar Again,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Until the Day You Soar Again.mp3
Your Adventure Has Ended,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Your Adventure Has Ended.mp3
A Brief Respite,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - A Brief Respite.mp3
Area I - Windy Plains,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Area I - Windy Plains.mp3
Area II - The Red Stone Forest,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Area II - The Red Stone Forest.mp3
Area III - Sacred Mountain of Silver Wind,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Area III - Sacred Mountain of Silver Wind.mp3
Area IV - The Land Beyond the Clouds,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Area IV - The Land Beyond the Clouds.mp3
Battlefield - Faith is My Pillar,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Battlefield - Faith is My Pillar.mp3
Battlefield - Storm,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Battlefield - Storm.mp3
Battlefield - The Fall of the Final Enemy,Etrian Odyssey 4 Soundtrack,,E:\MUSIC\3 Etrian Odyssey 4\Etrian Odyssey 4 Soundtrack - Battlefield - The Fall of the Final Enemy.mp3
