曲名,アーティスト,アルバム,再生時間,ビットレート(kbps),サンプリングレート(Hz),ファイルサイズ(MB),拡張子,ファイルパス
,,,2:33,320,44100,5.8,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Summer .mp3
,,,2:39,320,44100,6.1,.mp3,E:\MUSIC\4 Ytube  2020 music preference\That Summer.mp3
,,,4:18,125,44100,3.9,.m4a,E:\MUSIC\4 Ytube  2020 music preference\Pegboard Nerds - OSCar [Monstercat Release].m4a
,,,3:03,320,44100,7.0,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Top of the world .mp3
TRIGGER★HAPPY,P*Light,,2:00,192,44100,2.9,.mp3,E:\MUSIC\4 Ytube  2020 music preference\P_Light - TRIGGER★HAPPY.mp3
,,,3:21,320,44100,7.7,.mp3,E:\MUSIC\4 Ytube  2020 music preference\We Are Never Ever Getting Back Together lyrics.mp3
Evangelion:2.0 You Can (Not) Advance (Thai & English Lyrics),"""The Final Decision We All Must Take""",,4:49,192,44100,6.7,.mp3,E:\MUSIC\4 Ytube  2020 music preference\The Final Decision We All Must Take - Evangelion_2.0 You Can (Not) Advance (Thai & English Lyrics).mp3
,,,3:55,320,44100,9.0,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Yesterday Once More .mp3
,,,4:34,125,44100,4.2,.m4a,E:\MUSIC\4 Ytube  2020 music preference\You Raise Me Up.m4a
異国情緒溢れる　アコーディオン音楽集【作業用BGM】民族音楽　街　怪しい　Accordion Music,,,19:57,192,44100,27.5,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Accordion Music.mp3
踊りたくなる　楽しい　ケルト音楽集　【作業用BGM】Celtic Music,,,22:39,192,44100,31.2,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Celtic Music.mp3
,,,3:19,320,44100,7.6,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Pavarotti - Nessun Dorma 1994 (High Quality With Lyrics).mp3
,,,10:00,125,44100,9.1,.m4a,E:\MUSIC\4 Ytube  2020 music preference\パズドラ 壊滅級BGM 【道中･ボス戦】.m4a
,,,4:05,127,44100,3.8,.m4a,E:\MUSIC\4 Ytube  2020 music preference\君をのせて.m4a
Music: Heaven's Rock Seat,Etrian Odyssey II: Heroes of Lagaard,,4:33,192,44100,6.3,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Etrian Odyssey II_ Heroes of Lagaard - Music_ Heaven's Rock Seat.mp3
Final Boss,Etrian Odyssey Nexus [世界樹の迷宮X],,5:25,192,44100,7.7,.mp3,E:\MUSIC\4 Ytube  2020 music preference\Etrian Odyssey Nexus [世界樹の迷宮X] - Final Boss.mp3
