曲名,アーティスト,アルバム,再生時間,ビットレート(kbps),サンプリングレート(Hz),ファイルサイズ(MB),拡張子,ファイルパス
Super Mario Galaxy 2,Shiverburn Galaxy,,2:21,192,44100,3.4,.mp3,E:\MUSIC\1 SMG & mkw\Shiverburn Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Sky Station Galaxy,,2:27,192,44100,3.5,.mp3,E:\MUSIC\1 SMG & mkw\Sky Station Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Slider,,2:42,192,44100,3.9,.mp3,E:\MUSIC\1 SMG & mkw\Slider - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Slimy Spring Galaxy,,1:33,192,44100,2.3,.mp3,E:\MUSIC\1 SMG & mkw\Slimy Spring Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Slipsand Galaxy,,3:08,192,44100,4.5,.mp3,E:\MUSIC\1 SMG & mkw\Slipsand Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Space Storm Galaxy,,3:02,192,44100,4.3,.mp3,E:\MUSIC\1 SMG & mkw\Space Storm Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Spin-Dig Galaxy,,2:48,192,44100,4.0,.mp3,E:\MUSIC\1 SMG & mkw\Spin-Dig Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Squizzard,,1:16,192,44100,1.9,.mp3,E:\MUSIC\1 SMG & mkw\Squizzard - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Staff Credits,,3:50,192,44100,5.4,.mp3,E:\MUSIC\1 SMG & mkw\Staff Credits - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Star Chance,,1:35,192,44100,2.3,.mp3,E:\MUSIC\1 SMG & mkw\Star Chance - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Starshine Beach (Underwater),,1:47,192,44100,2.6,.mp3,E:\MUSIC\1 SMG & mkw\Starshine Beach (Underwater) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Starshine Beach (Yoshi),,3:19,192,44100,4.7,.mp3,E:\MUSIC\1 SMG & mkw\Starshine Beach (Yoshi) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Starshine Beach Galaxy,,3:11,192,44100,4.5,.mp3,E:\MUSIC\1 SMG & mkw\Starshine Beach Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Starship Mario 1,,2:06,192,44100,3.0,.mp3,E:\MUSIC\1 SMG & mkw\Starship Mario 1 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Starship Mario 2,,2:07,192,44100,3.1,.mp3,E:\MUSIC\1 SMG & mkw\Starship Mario 2 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Starship Mario 3,,2:06,192,44100,3.0,.mp3,E:\MUSIC\1 SMG & mkw\Starship Mario 3 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,"Starship Mario, Launch!",,1:28,192,44100,2.2,.mp3,"E:\MUSIC\1 SMG & mkw\Starship Mario, Launch! - Super Mario Galaxy 2.mp3"
Super Mario Galaxy 2,Supermassive Galaxy,,2:33,192,44100,3.6,.mp3,E:\MUSIC\1 SMG & mkw\Supermassive Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Sweet Mystery (Yoshi),,2:29,192,44100,3.6,.mp3,E:\MUSIC\1 SMG & mkw\Sweet Mystery (Yoshi) - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Sweet Mystery Galaxy,,1:24,192,44100,2.1,.mp3,E:\MUSIC\1 SMG & mkw\Sweet Mystery Galaxy - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Teleporter,,0:40,192,44100,1.1,.mp3,E:\MUSIC\1 SMG & mkw\Teleporter - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Tension,,0:38,192,44100,1.0,.mp3,E:\MUSIC\1 SMG & mkw\Tension - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,The Lost Luma,,0:36,192,44100,1.0,.mp3,E:\MUSIC\1 SMG & mkw\The Lost Luma - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,The Luma and the Hat,,1:52,192,44100,2.7,.mp3,E:\MUSIC\1 SMG & mkw\The Luma and the Hat - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,The Perfect Run 1,,3:54,192,44100,5.5,.mp3,E:\MUSIC\1 SMG & mkw\The Perfect Run 1 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,The Perfect Run 2,,2:52,192,44100,4.1,.mp3,E:\MUSIC\1 SMG & mkw\The Perfect Run 2 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,The Perfect Run 3,,2:36,192,44100,3.7,.mp3,E:\MUSIC\1 SMG & mkw\The Perfect Run 3 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,The Starship Appears,,0:41,192,44100,1.1,.mp3,E:\MUSIC\1 SMG & mkw\The Starship Appears - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,The Starship Sails,,2:16,192,44100,3.3,.mp3,E:\MUSIC\1 SMG & mkw\The Starship Sails - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Theme of Super Mario Galaxy 2,,2:00,192,44100,2.9,.mp3,E:\MUSIC\1 SMG & mkw\Theme of Super Mario Galaxy 2 - Super Mario Galaxy 2.mp3
Super Mario Galaxy 2,Throwback Galaxy,,2:32,192,44100,3.6,.mp3,E:\MUSIC\1 SMG & mkw\Throwback Galaxy - Super Mario Galaxy 2.mp3
